,group_id,seq,is_chiitoi
0,000397396,"['S_Round' 'S_Seat' 'WOoA20' '3rd' 'no_riichi' '0_OR' 'D5m' 'L3p' 'PNorth'
 'R1s' 'A1s' 'L1p' 'PRed' 'REast' 'AEast' 'LEast' 'P1s' 'RRed' 'AGreen'
 'L1p' 'P2s' 'R3p' 'ANorth' 'L3p' 'P2p' 'RWhite' 'LRed' 'P2m' 'R4p'
 'AWest' 'L9s' 'P8p' 'R2s' 'A1m' 'L6p' 'P4s' 'REast' 'A9m' 'L2s' 'P5s']",1
1,002a30522,"['E_Round' 'N_Seat' 'WOoA20' '3rd' 'no_riichi' '0_OR' 'D6p' 'R9m' 'A9m'
 'LWest' 'PSouth' 'RSouth' 'ARed' 'L2p' 'PWhite' 'RWest' 'ASouth' 'L4s'
 'P5m' 'R1s' 'A2s' 'L8s' 'P1p' 'RWhite' 'A3s' 'L9s' 'P8s' 'R9p' 'A8p'
 'LGreen' 'P9s' 'R1p' 'A3s' 'L7s' 'PNorth' 'RGreen' 'A2p' 'L1s' 'PWest'
 'R9s' 'A2p' 'L5m' 'P5m' 'REast' 'AEast' 'L9p' 'PEast' 'R8m' 'A8m' 'L4s'
 'R5s' 'AEast' 'LNorth' 'P8m' 'R2p' 'A3s' 'L2s' 'P8p']",1
2,002f10a25,"['E_Round' 'W_Seat' 'WOoA20' '4th' 'no_riichi' '0_OR' 'D1p' 'A9m' 'LRed'
 'P1m' 'R1m' 'AWest' 'L9s' 'PEast' 'RRed' 'ANorth' 'LSouth' 'PWest' 'R2m'
 'A4s' 'LWhite' 'P9m' 'RWhite' 'A3p' 'L9m' 'P6s' 'REast' 'A7p' 'L1m' 'P8m'
 'R3p' 'A1s' 'L1s' 'P7p' 'R1s' 'A8s' 'L2m' 'P9m' 'R8s' 'A8m' 'L8m' 'P3m'
 'R9s' 'A9s' 'L3p' 'P9p' 'RRed' 'A2s' 'L9p' 'P2s' 'R2s' 'A1p' 'LSouth'
 'PWhite' 'RWhite' 'A7s' 'L1s' 'P1p']",1
3,0060ac348,"['S_Round' 'W_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D1p' 'AWest' 'L1p'
 'P1s' 'R9p' 'A8s' 'L1m' 'P1p' 'REast' 'ASouth' 'LWhite' 'P8p' 'RSouth'
 'AWhite' 'L9m' 'PWhite' 'RGreen' 'ASouth' 'LNorth' 'P6p' 'R7m' 'A1m'
 'LGreen' 'P4s' 'RSouth' 'AEast' 'LWest' 'PRed' 'RWest' 'A6m' 'L9s' 'P5m']",1
4,009d9ae44,"['S_Round' 'W_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D8m' 'ANorth'
 'LEast' 'PEast' 'R1p' 'A4p' 'LRed' 'P1p' 'RSouth' 'A3m' 'L2p' 'PEast'
 'RWhite' 'A5m' 'LWest' 'PGreen' 'RGreen' 'A8p' 'L3m' 'P4m' 'R9s' 'ARed'
 'L7p' 'P7m' 'RWest' 'A8p' 'L2p' 'P2m' 'RRed' 'A2m' 'L9p' 'PGreen' 'RWest'
 'A9m' 'L9p' 'P9p' 'R8p' 'A8m' 'LWest' 'P7s']",1
5,00ae8ca17,"['S_Round' 'N_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D5p' 'R1p' 'ANorth'
 'L9p' 'PWest' 'RNorth' 'A1m' 'L9m' 'PSouth' 'RSouth' 'A9m' 'L1p' 'PRed'
 'RRed' 'AEast' 'L2p' 'P2m' 'RWhite' 'A1m' 'L3m' 'P2s' 'R9s' 'ARed'
 'LEast' 'P2p' 'R3s' 'A3p' 'L4p' 'PRed']",1
6,00d2c7151,"['E_Round' 'S_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D9s' 'LRed' 'P1p'
 'RRed' 'ASouth' 'LNorth' 'P2s' 'RWhite' 'ANorth' 'LWest' 'PRed' 'R1m'
 'A9p' 'LWest' 'PSouth' 'RWest' 'A1p' 'L9s' 'P9m' 'RSouth' 'AWest' 'L2s'
 'P4m' 'RWhite' 'A1m' 'L8m' 'P1p' 'RGreen' 'A1s' 'L2p' 'PEast' 'R8m'
 'AGreen' 'L2s' 'P3m']",1
7,0106716e2,"['E_Round' 'N_Seat' 'WOoA20' '4th' 'did_riichi' '0_OR' 'D7s' 'RNorth'
 'A1p' 'LNorth' 'PWest' 'R1s' 'A7m' 'LSouth' 'P1p' 'R8m' 'A4m' 'L8m' 'P1s'
 'R2s' 'A3m' 'L9m' 'P9m' 'R6s' 'A6m' 'LWhite' 'P6p' 'R5m' 'A5m' 'L3p'
 'PGreen' 'A4p' 'L8s' 'P5s' 'RGreen' 'A6p' 'L3p' 'P3p' 'R3s' 'A6p' 'L7m'
 'P9m' 'RWhite' 'ASouth' 'LRed' 'PRed' 'A7m' 'L5p' 'PWhite']",1
8,011dba605,"['E_Round' 'E_Seat' 'WOoA20' '3rd' 'no_riichi' '0_OR' 'DWest' 'P9s' 'R1m'
 'AWest' 'LWest' 'P1m' 'R9p' 'A1p' 'L9s' 'P2m' 'R2p' 'A8s' 'L9p' 'PEast'
 'R9m' 'ARed' 'L1m' 'P9s' 'R9p' 'A1p' 'LWhite' 'P8s' 'RGreen' 'A5s'
 'LSouth' 'P4s' 'R8s' 'A5m' 'L2m' 'P7m']",1
9,011dba607,"['S_Round' 'W_Seat' 'WOoA20' '4th' 'no_riichi' '1_OR' 'D1m' 'A9p' 'L1p'
 'PEast' 'R2s' 'A9s' 'L1m' 'P1s' 'REast' 'A2s' 'LRed' 'PNorth' 'R2p'
 'AEast' 'LGreen' 'P1p' 'R4m' 'AGreen' 'LWhite' 'PWhite' 'R7p' 'ASouth'
 'L3p' 'PRed' 'R7m' 'ANorth' 'L7m' 'P7p' 'ANorth' 'LWhite' 'P1s' 'A1m'
 'L2s' 'P2s' 'A7p' 'L2m' 'P3p']",1
10,0131fe931,"['E_Round' 'N_Seat' 'WOoA20' '1st' 'no_riichi' '0_OR' 'D8s' 'RWest' 'A3m'
 'L9p' 'P3m' 'RSouth' 'A6m' 'L4p' 'P4p' 'R1s' 'A5s' 'L6p' 'P6p' 'R2s'
 'A7s' 'L7s' 'P5m' 'R1p' 'A1s' 'L4s' 'P9m']",1
11,015fd1b80,"['E_Round' 'W_Seat' 'WOoA20' 'tie' 'did_riichi' '0_OR' 'D9p' 'ANorth'
 'LEast' 'PSouth' 'RSouth' 'ARed' 'L9m' 'P8s' 'RRed' 'A8s' 'L8m' 'PGreen'
 'RWhite' 'A4p' 'LNorth' 'P4s' 'R8p' 'A2s' 'L1s' 'P8s' 'R6s' 'A3m' 'L2p'
 'P2p' 'R2p' 'L3s' 'PEast' 'R3m' 'L5s' 'PWest' 'RWest' 'L6s' 'P5p']",1
